movie_id,avg_rating,avg_noised_rating,rating_count,rating_variance,noised_count,noised_variance
253,4.1,3.9,[  88  156  695 1609 1627],0.89,[ 264  287  590 1525 1509],1.34
255,3.1,3.1,[ 367  689 1644  905  478],1.21,[ 467  656 1599  788  573],1.37
256,3.4,3.3,[ 747 1342 3114 3648 1838],1.26,[1032 1440 2833 3534 1850],1.42
257,3.9,3.7,[ 302 1001 6369 9484 6779],0.82,[1609 1891 5164 9227 6044],1.29
262,3.7,3.6,[ 109  223 1198 1320  835],0.96,[ 230  333  937 1394  791],1.23
268,3.7,3.5,[ 100  273 1479 2080  892],0.82,[ 321  471 1197 1998  837],1.19
269,3.7,3.5,[ 231 1167 6218 8277 4114],0.79,[1303 1876 5295 7802 3731],1.2
270,4.3,4.2,[ 1233   700  2224  6513 14487],1.14,[ 1561  1602  2304  5312 14378],1.45
273,3.3,3.3,[1200 2845 7330 5982 3100],1.16,[1871 2841 6836 5699 3210],1.34
275,3.6,3.4,[ 169  578 2467 3323 1115],0.81,[ 537  809 2088 3131 1087],1.16
281,3.8,3.6,[  76  171  764 1021  711],0.98,[196 240 738 965 604],1.29
283,3.7,3.5,[ 154  435 1631 2015 1332],1.01,[ 420  574 1396 2013 1164],1.33
285,3.3,3.2,[ 390 1723 5512 4149 1158],0.84,[1012 1648 5041 3704 1527],1.14
289,2.3,2.5,[1037 1374 1133  437  116],1.11,[ 909 1284 1008  557  339],1.46
290,3.6,3.5,[ 1440  3322  9648 11233  6940],1.14,[ 2734  3713  8389 11170  6577],1.38
295,3.3,3.2,[1866 4055 9272 6939 4182],1.26,[2641 3979 8790 6611 4293],1.41
297,2.8,2.9,[204 354 499 268 121],1.3,[196 348 481 269 152],1.38
299,3.7,3.5,[ 1452  4493 17654 23736 12498],0.93,[ 4369  5922 15161 23034 11347],1.26
304,3.7,3.6,[ 226  200  683 1051  892],1.36,[ 281  311  596 1058  806],1.53
305,3.6,3.4,[ 290 1023 4014 4202 2224],0.94,[ 880 1307 3464 4007 2095],1.27
